Table 1: Border Crossing/Entry Query Results at Port Level (Monthly)
Port Name, Year, Month, Trucks, Loaded Truck Containers, Empty Truck Containers, Trains, Loaded Rail Containers, Empty Rail Containers, Train Passengers, Buses, Bus Passengers, Personal Vehicles, Personal Vehicle Passengers, Pedestrians, 
AZ: Douglas                                                 , 2001, 01 - JAN, 2835, 1437, 1103, 0, 0, 0, 0, 688, 688, 183387, 504314, 47274, 
AZ: Douglas                                                 , 2001, 02 - FEB, 2725, 1582, 1020, 0, 0, 0, 0, 517, 2092, 175347, 350694, 48946, 
AZ: Douglas                                                 , 2001, 03 - MAR, 3179, 1606, 1061, 0, 0, 0, 0, 403, 2192, 198397, 396794, 58730, 
AZ: Douglas                                                 , 2001, 04 - APR, 2769, 1500, 1001, 0, 0, 0, 0, 396, 2354, 192889, 385778, 53191, 
AZ: Douglas                                                 , 2001, 05 - MAY, 2830, 1246, 1169, 0, 0, 0, 0, 438, 2008, 207094, 414188, 52413, 
AZ: Douglas                                                 , 2001, 06 - JUN, 2604, 1481, 1217, 0, 0, 0, 0, 452, 2062, 191385, 382770, 49451, 
AZ: Douglas                                                 , 2001, 07 - JUL, 2566, 1171, 1183, 0, 0, 0, 0, 415, 2952, 197209, 394418, 53762, 
AZ: Douglas                                                 , 2001, 08 - AUG, 2958, 1470, 1188, 0, 0, 0, 0, 475, 2986, 203791, 407582, 53874, 
AZ: Douglas                                                 , 2001, 09 - SEP, 2380, 1188, 871, 0, 0, 0, 0, 479, 2213, 134791, 269582, 80445, 
AZ: Douglas                                                 , 2001, 10 - OCT, 2461, 1390, 909, 0, 0, 0, 0, 412, 1965, 118446, 414561, 84712, 
AZ: Douglas                                                 , 2001, 11 - NOV, 2261, 1468, 653, 0, 0, 0, 0, 411, 1767, 130483, 534980, 77302, 
AZ: Douglas                                                 , 2001, 12 - DEC, 1952, 1109, 703, 0, 0, 0, 0, 431, 2460, 170052, 748229, 68485, 
AZ: Lukeville                                               , 2001, 01 - JAN, 317, 47, 56, 0, 0, 0, 0, 33, 1281, 31915, 92548, 9300, 
AZ: Lukeville                                               , 2001, 02 - FEB, 333, 28, 59, 0, 0, 0, 0, 39, 1521, 32836, 95224, 8680, 
AZ: Lukeville                                               , 2001, 03 - MAR, 410, 24, 60, 0, 0, 0, 0, 136, 5304, 47212, 136914, 11160, 
AZ: Lukeville                                               , 2001, 04 - APR, 457, 20, 49, 0, 0, 0, 0, 49, 1907, 46508, 134855, 10800, 
AZ: Lukeville                                               , 2001, 05 - MAY, 461, 21, 66, 0, 0, 0, 0, 46, 1787, 46410, 134582, 11160, 
AZ: Lukeville                                               , 2001, 06 - JUN, 376, 24, 63, 0, 0, 0, 0, 34, 1317, 37112, 107617, 10800, 
AZ: Lukeville                                               , 2001, 07 - JUL, 379, 33, 73, 0, 0, 0, 0, 38, 1482, 37850, 109765, 11160, 
AZ: Lukeville                                               , 2001, 08 - AUG, 304, 28, 77, 0, 0, 0, 0, 30, 1170, 30400, 88160, 10044, 
AZ: Lukeville                                               , 2001, 09 - SEP, 304, 27, 67, 0, 0, 0, 0, 30, 1170, 30368, 88067, 10044, 
AZ: Lukeville                                               , 2001, 10 - OCT, 347, 22, 71, 0, 0, 0, 0, 39, 1517, 34230, 99253, 11160, 
AZ: Lukeville                                               , 2001, 11 - NOV, 331, 15, 68, 0, 0, 0, 0, 37, 1423, 29466, 99267, 10800, 
AZ: Lukeville                                               , 2001, 12 - DEC, 338, 15, 76, 0, 0, 0, 0, 43, 1658, 32216, 97736, 11160, 
AZ: Naco                                                    , 2001, 01 - JAN, 735, 0, 0, 0, 0, 0, 0, 0, 0, 27452, 71375, 7158, 
AZ: Naco                                                    , 2001, 02 - FEB, 822, 0, 0, 0, 0, 0, 0, 0, 0, 26595, 69147, 6862, 
AZ: Naco                                                    , 2001, 03 - MAR, 882, 551, 285, 0, 0, 0, 0, 0, 0, 29368, 70483, 8375, 
AZ: Naco                                                    , 2001, 04 - APR, 816, 531, 315, 0, 0, 0, 0, 0, 0, 29789, 71494, 7239, 
AZ: Naco                                                    , 2001, 05 - MAY, 951, 648, 303, 0, 0, 0, 0, 0, 0, 30512, 73229, 9051, 
AZ: Naco                                                    , 2001, 06 - JUN, 809, 487, 332, 0, 0, 0, 0, 0, 0, 28678, 68827, 8571, 
AZ: Naco                                                    , 2001, 07 - JUL, 804, 423, 401, 0, 0, 0, 0, 0, 0, 29325, 70380, 9160, 
AZ: Naco                                                    , 2001, 08 - AUG, 801, 542, 297, 0, 0, 0, 0, 0, 0, 29353, 70447, 9994, 
AZ: Naco                                                    , 2001, 09 - SEP, 671, 450, 221, 0, 0, 0, 0, 0, 0, 25443, 61063, 8451, 
AZ: Naco                                                    , 2001, 10 - OCT, 713, 504, 209, 0, 0, 0, 0, 0, 0, 24481, 58754, 5978, 
AZ: Naco                                                    , 2001, 11 - NOV, 560, 414, 178, 0, 0, 0, 0, 0, 0, 25826, 61982, 6224, 
AZ: Naco                                                    , 2001, 12 - DEC, 385, 259, 126, 0, 0, 0, 0, 0, 0, 29840, 71616, 5491, 
AZ: Nogales                                                 , 2001, 01 - JAN, 27821, 23062, 4759, 54, 2303, 1474, 324, 803, 10848, 388464, 817976, 361883, 
AZ: Nogales                                                 , 2001, 02 - FEB, 26506, 21802, 4684, 55, 2668, 1740, 220, 576, 8970, 397451, 837266, 372415, 
AZ: Nogales                                                 , 2001, 03 - MAR, 30652, 24931, 5721, 60, 3369, 2575, 240, 679, 10940, 417635, 880988, 484048, 
AZ: Nogales                                                 , 2001, 04 - APR, 24944, 20266, 4641, 61, 3392, 2705, 244, 504, 12762, 403305, 872668, 368309, 
AZ: Nogales                                                 , 2001, 05 - MAY, 25437, 20279, 5165, 52, 3232, 2230, 208, 563, 10698, 459757, 967116, 400520, 
AZ: Nogales                                                 , 2001, 06 - JUN, 18801, 13806, 4996, 52, 3439, 1692, 208, 691, 10113, 395454, 837206, 385487, 
AZ: Nogales                                                 , 2001, 07 - JUL, 13088, 8328, 4765, 45, 2274, 1440, 180, 568, 14906, 403446, 939860, 380316, 
AZ: Nogales                                                 , 2001, 08 - AUG, 13833, 8555, 5543, 61, 3941, 2240, 244, 517, 10185, 420545, 950759, 366972, 
AZ: Nogales                                                 , 2001, 09 - SEP, 12138, 6953, 5411, 48, 2741, 1718, 192, 518, 7678, 321278, 650168, 399478, 
AZ: Nogales                                                 , 2001, 10 - OCT, 15692, 9724, 5976, 57, 3160, 1662, 228, 475, 7444, 284090, 599745, 392781, 
AZ: Nogales                                                 , 2001, 11 - NOV, 19815, 14593, 5165, 46, 2661, 1890, 184, 550, 9186, 351936, 758282, 411287, 
AZ: Nogales                                                 , 2001, 12 - DEC, 20510, 15664, 4873, 44, 2536, 1585, 176, 794, 12800, 347572, 764669, 551242, 
AZ: San Luis                                                , 2001, 01 - JAN, 4407, 2796, 1313, 0, 0, 0, 0, 2, 53, 233253, 653108, 320697, 
AZ: San Luis                                                , 2001, 02 - FEB, 4063, 2569, 1060, 0, 0, 0, 0, 4, 120, 208256, 583117, 303158, 
AZ: San Luis                                                , 2001, 03 - MAR, 4528, 2972, 1631, 0, 0, 0, 0, 3, 57, 229656, 436346, 330406, 
AZ: San Luis                                                , 2001, 04 - APR, 3340, 1505, 1268, 0, 0, 0, 0, 3, 94, 218804, 481369, 252825, 
AZ: San Luis                                                , 2001, 05 - MAY, 3417, 1769, 1635, 0, 0, 0, 0, 3, 96, 235729, 518604, 228947, 
AZ: San Luis                                                , 2001, 06 - JUN, 2685, 1129, 1320, 0, 0, 0, 0, 3, 80, 236999, 545098, 195651, 
AZ: San Luis                                                , 2001, 07 - JUL, 2467, 1067, 1417, 0, 0, 0, 0, 3, 98, 229850, 574625, 193923, 
AZ: San Luis                                                , 2001, 08 - AUG, 2666, 873, 1403, 0, 0, 0, 0, 2, 21, 232718, 651610, 180180, 
AZ: San Luis                                                , 2001, 09 - SEP, 2248, 937, 1308, 0, 0, 0, 0, 5, 168, 167570, 452439, 243765, 
AZ: San Luis                                                , 2001, 10 - OCT, 3092, 1339, 1741, 0, 0, 0, 0, 3, 71, 148713, 342040, 299979, 
AZ: San Luis                                                , 2001, 11 - NOV, 3472, 1771, 1595, 0, 0, 0, 0, 0, 0, 196873, 511870, 279252, 
AZ: San Luis                                                , 2001, 12 - DEC, 3647, 2026, 1623, 0, 0, 0, 0, 4, 54, 257759, 695949, 341476, 
AZ: Sasabe                                                  , 2001, 01 - JAN, 180, 90, 90, 0, 0, 0, 0, 0, 0, 2905, 6685, 183, 
AZ: Sasabe                                                  , 2001, 02 - FEB, 134, 67, 67, 0, 0, 0, 0, 0, 0, 2856, 7426, 174, 
AZ: Sasabe                                                  , 2001, 03 - MAR, 192, 96, 96, 0, 0, 0, 0, 0, 0, 3236, 8414, 213, 
AZ: Sasabe                                                  , 2001, 04 - APR, 188, 94, 94, 0, 0, 0, 0, 0, 0, 3436, 8933, 215, 
AZ: Sasabe                                                  , 2001, 05 - MAY, 172, 86, 86, 0, 0, 0, 0, 0, 0, 3327, 8650, 201, 
AZ: Sasabe                                                  , 2001, 06 - JUN, 172, 86, 86, 0, 0, 0, 0, 0, 0, 3327, 6685, 201, 
AZ: Sasabe                                                  , 2001, 07 - JUL, 135, 68, 68, 0, 0, 0, 0, 0, 0, 3214, 8356, 213, 
AZ: Sasabe                                                  , 2001, 08 - AUG, 143, 72, 72, 0, 0, 0, 0, 0, 0, 3406, 8856, 262, 
AZ: Sasabe                                                  , 2001, 09 - SEP, 137, 69, 69, 0, 0, 0, 0, 0, 0, 3148, 8185, 234, 
AZ: Sasabe                                                  , 2001, 10 - OCT, 177, 89, 89, 0, 0, 0, 0, 0, 0, 2957, 7688, 209, 
AZ: Sasabe                                                  , 2001, 11 - NOV, 177, 89, 89, 0, 0, 0, 0, 0, 0, 2957, 7725, 209, 
AZ: Sasabe                                                  , 2001, 12 - DEC, 188, 94, 94, 0, 0, 0, 0, 0, 0, 3671, 9545, 129, 
CA: Andrade                                                 , 2001, 01 - JAN, 141, 93, 48, 0, 0, 0, 0, 13, 510, 54357, 161984, 265558, 
CA: Andrade                                                 , 2001, 02 - FEB, 146, 105, 41, 0, 0, 0, 0, 35, 1531, 54300, 161814, 295337, 
CA: Andrade                                                 , 2001, 03 - MAR, 191, 132, 59, 0, 0, 0, 0, 25, 851, 56215, 167520, 296899, 
CA: Andrade                                                 , 2001, 04 - APR, 167, 119, 58, 0, 0, 0, 0, 2, 47, 53829, 118424, 150966, 
CA: Andrade                                                 , 2001, 05 - MAY, 162, 113, 49, 0, 0, 0, 0, 0, 0, 50647, 100934, 89252, 
CA: Andrade                                                 , 2001, 06 - JUN, 147, 100, 50, 0, 0, 0, 0, 0, 0, 44112, 88224, 67947, 
CA: Andrade                                                 , 2001, 07 - JUL, 135, 93, 42, 0, 0, 0, 0, 0, 0, 47925, 105435, 61400, 
CA: Andrade                                                 , 2001, 08 - AUG, 146, 95, 51, 0, 0, 0, 0, 0, 0, 47908, 100606, 57780, 
CA: Andrade                                                 , 2001, 09 - SEP, 119, 74, 45, 0, 0, 0, 0, 0, 0, 43488, 86976, 67423, 
CA: Andrade                                                 , 2001, 10 - OCT, 155, 96, 59, 0, 0, 0, 0, 0, 0, 41487, 87123, 108553, 
CA: Andrade                                                 , 2001, 11 - NOV, 137, 89, 58, 0, 0, 0, 0, 2, 60, 47430, 104346, 155284, 
CA: Andrade                                                 , 2001, 12 - DEC, 121, 82, 47, 0, 0, 0, 0, 4, 120, 61329, 128791, 162993, 
CA: Calexico                                                , 2001, 01 - JAN, 0, 0, 0, 0, 27, 41, 0, 171, 1516, 558556, 1664496, 573266, 
CA: Calexico                                                , 2001, 02 - FEB, 0, 0, 0, 0, 3, 40, 0, 136, 1046, 517493, 1542129, 570238, 
CA: Calexico                                                , 2001, 03 - MAR, 0, 0, 0, 0, 0, 0, 0, 226, 3822, 682186, 2035891, 637563, 
CA: Calexico                                                , 2001, 04 - APR, 0, 0, 0, 0, 0, 0, 0, 182, 1679, 587041, 1749382, 588673, 
CA: Calexico                                                , 2001, 05 - MAY, 0, 0, 0, 0, 0, 0, 0, 159, 1630, 573287, 1146574, 635908, 
CA: Calexico                                                , 2001, 06 - JUN, 0, 0, 0, 0, 0, 0, 0, 322, 11760, 558516, 1117032, 616455, 
CA: Calexico                                                , 2001, 07 - JUL, 0, 0, 0, 0, 0, 0, 0, 80, 727, 546308, 1092616, 651011, 
CA: Calexico                                                , 2001, 08 - AUG, 0, 0, 0, 0, 0, 0, 0, 95, 1132, 546616, 1093232, 636438, 
CA: Calexico                                                , 2001, 09 - SEP, 0, 0, 0, 0, 0, 0, 0, 90, 1138, 403733, 807466, 560620, 
CA: Calexico                                                , 2001, 10 - OCT, 0, 0, 0, 0, 0, 0, 0, 108, 708, 424709, 806947, 555924, 
CA: Calexico                                                , 2001, 11 - NOV, 0, 0, 0, 0, 0, 0, 0, 132, 1002, 442642, 885284, 503312, 
CA: Calexico                                                , 2001, 12 - DEC, 0, 0, 0, 0, 0, 0, 0, 136, 1333, 533338, 1066676, 590377, 
CA: Calexico East                                           , 2001, 01 - JAN, 22178, 8123, 6017, 21, 53, 277, 147, 20, 254, 240028, 715283, 38, 
CA: Calexico East                                           , 2001, 02 - FEB, 20204, 4583, 3133, 19, 37, 340, 133, 16, 309, 239241, 712938, 101, 
CA: Calexico East                                           , 2001, 03 - MAR, 23066, 13059, 10007, 22, 32, 350, 154, 113, 1344, 263918, 786475, 147, 
CA: Calexico East                                           , 2001, 04 - APR, 20621, 11337, 9284, 20, 45, 414, 140, 57, 1634, 273094, 813820, 205, 
CA: Calexico East                                           , 2001, 05 - MAY, 22324, 11742, 10582, 22, 77, 389, 154, 48, 1153, 267986, 589569, 291, 
CA: Calexico East                                           , 2001, 06 - JUN, 21702, 11161, 10541, 21, 146, 296, 147, 39, 897, 251218, 527557, 259, 
CA: Calexico East                                           , 2001, 07 - JUL, 20440, 9871, 9979, 21, 131, 313, 147, 6, 270, 237826, 499434, 298, 
CA: Calexico East                                           , 2001, 08 - AUG, 22174, 11546, 10628, 23, 122, 425, 161, 4, 90, 253973, 507946, 387, 
CA: Calexico East                                           , 2001, 09 - SEP, 19740, 10198, 9542, 19, 83, 374, 133, 25, 443, 222713, 489968, 324, 
CA: Calexico East                                           , 2001, 10 - OCT, 22849, 12157, 10832, 21, 46, 501, 147, 14, 274, 229053, 481011, 264, 
CA: Calexico East                                           , 2001, 11 - NOV, 21367, 11619, 9748, 19, 32, 456, 133, 29, 621, 271760, 570696, 0, 
CA: Calexico East                                           , 2001, 12 - DEC, 20050, 10898, 9152, 18, 104, 417, 126, 21, 358, 329730, 725406, 224, 
CA: Otay Mesa                                               , 2001, 01 - JAN, 54504, 28472, 27978, 19, 0, 312, 38, 4301, 21805, 347455, 764401, 42769, 
CA: Otay Mesa                                               , 2001, 02 - FEB, 53124, 26870, 26254, 16, 0, 220, 32, 4299, 21249, 326607, 718535, 42497, 
CA: Otay Mesa                                               , 2001, 03 - MAR, 61268, 31091, 30177, 21, 0, 296, 42, 4426, 25076, 344859, 758689, 41355, 
CA: Otay Mesa                                               , 2001, 04 - APR, 58208, 29918, 28290, 16, 0, 235, 32, 4799, 37112, 343295, 755249, 56192, 
CA: Otay Mesa                                               , 2001, 05 - MAY, 63940, 33061, 30879, 20, 0, 262, 40, 4120, 41379, 365598, 804315, 53393, 
CA: Otay Mesa                                               , 2001, 06 - JUN, 61773, 31579, 30194, 21, 0, 237, 42, 4198, 51984, 346794, 762946, 76703, 
CA: Otay Mesa                                               , 2001, 07 - JUL, 62569, 32026, 30543, 21, 1, 267, 42, 4587, 28974, 351393, 773064, 54657, 
