
------------------------------------------------------
        code  name   volume  volumeLast      rate
142   300500  苏州设计     7034    58179657  0.000121
169   601900  南方传媒    46965    37020348  0.001269
75    300501  海顺新材     7200     5456398  0.001320
145     2103  广博股份    35929    19184889  0.001873
72    603377  东方时尚    28317    12005984  0.002359
149   300499  高澜股份    22190     4386237  0.005059
859     2729   好利来   391512    30154615  0.012983
817   603158  腾龙股份   977443    67296317  0.014524
2029  300242  明家科技  2076220   126021599  0.016475
183     2730  电光科技  4113910   208958708  0.019688
		

        code   name     volume  volumeLast        rate
1494     667   美好集团   69225257      742310   93.256533
2477     878   云南铜业   63041920      585760  107.624146
2783  300355   蒙草抗旱   49196756      410400  119.875136
2285  600221   海南航空  106003681      872658  121.472193
894      979   中弘股份  126120506     1033785  121.998777
2058  601988   中国银行  180558419     1391259  129.780594
45      2110   三钢闽光   13758143       84637  162.554710
18      2043  兔 宝 宝   16385087       39692  412.805780
23    300281   金明精机    4588512        8400  546.251429
44    603869   北部湾旅    7478630       12760  586.099530
------------------------------------------------------
        code   name    volume  volumeLast      rate
2268  300146   汤臣倍健   5699058     2847052  2.001740
1469  600251   冠农股份  11736849     5860772  2.002611
1885    2694   顾地科技   6089288     3039047  2.003683
1276    2319   乐通股份  20655287    10303130  2.004758
1852    2021   中捷资源   8523072     4230873  2.014495
1780  601107   四川成渝   9728399     4816759  2.019698
2008  603996   中新科技  11287378     5586884  2.020335
1757  600692   亚通股份  10145448     5016377  2.022465
1411  300332   天壕环境   6038252     2984672  2.023087
264     2413   雷科防务   9068233     4482282  2.023129
132   300376    易事特   7923498     3916381  2.023168
1874  600395   盘江股份  39064313    19290819  2.025021
1926     909   数源科技   8670197     4258411  2.036017
1810    2241   歌尔声学  14219471     6973266  2.039141
919   600339   天利高新   9463633     4634733  2.041894
1474    2131   利欧股份  11595691     5661716  2.048088
1315    2076  雪 莱 特   7427571     3617913  2.052999
2435  300244   迪安诊断   3259335     1587213  2.053496
588   300216   千山药机   9452921     4603048  2.053622
677   600235   民丰特纸  10208035     4967920  2.054791
		

        code   name    volume  volumeLast      rate
1541      12  南  玻Ａ  25348537     5248126  4.830017
633   600590   泰豪科技  10177944     2104031  4.837355
1800  600084   中葡股份   7702258     1590635  4.842254
901   600522   中天科技  20195715     4169499  4.843679
439   600023   浙能电力  43359345     8937792  4.851237
1299     631   顺发恒业   8561093     1764101  4.852949
2006  600356   恒丰纸业   3956771      812164  4.871887
479     2441    众业达  12991749     2665081  4.874805
1310  600397   安源煤业  22673783     4622049  4.905570
2180     810   创维数字  22934696     4668053  4.913118
1618  600753   东方银星   1560134      316857  4.923779
368     2005   德豪润达  29239914     5936693  4.925287
396     2609   捷顺科技   8621828     1745644  4.939053
1862  600063   皖维高新  35571827     7191655  4.946264
1316    2476   宝莫股份  13764560     2775301  4.959664
515      983   西山煤电  96457856    19440083  4.961803
282     2746   仙坛股份   4281846      862332  4.965426
2036     547   航天发展  23162151     4640817  4.990964
1410     739   普洛药业  14008925     2801861  4.999864
2489    2639   雪人股份  39419510     7884037  4.999914
